Date;Load
2015-12-18;7163710670
2015-12-19;6516942690
2015-12-20;6049007700
2015-12-21;7058167920
2015-12-22;7143196780
2015-12-23;6979318940
2015-12-24;6111653500
2015-12-25;5194062620
2015-12-26;5737939600
2015-12-27;5722888510
2015-12-28;6530225570
2015-12-29;6500425760
2015-12-30;6474225120
2015-12-31;5963496100
2016-01-01;5155814730
2016-01-02;5781842700
2016-01-03;5843787250
2016-01-04;6665651060
2016-01-05;6630201470
2016-01-06;5859270740
2016-01-07;7105835860
2016-01-08;7118750810
2016-01-09;6488929270
2016-01-10;6145149940
2016-01-11;7234545850
2016-01-12;7405061440
2016-01-13;7563740680
2016-01-14;7635460010
2016-01-15;7571265010
2016-01-16;6885051760
2016-01-17;6546461550
2016-01-18;7698730200
2016-01-19;7775505590
2016-01-20;7733622280
2016-01-21;7708952840
2016-01-22;7571470640
2016-01-23;6673312140
2016-01-24;6144136970
2016-01-25;7254578080
2016-01-26;7440370760
2016-01-27;7432865810
2016-01-28;7421671200
2016-01-29;7369746960
2016-01-30;6641717780
2016-01-31;6135417080
2016-02-01;7171049870
2016-02-02;7332106490
2016-02-03;7356892870
2016-02-04;7401818190
2016-02-05;7389965100
2016-02-06;6712359800
2016-02-07;6197835060
2016-02-08;7258357850
2016-02-09;7389429960
2016-02-10;7401684240
2016-02-11;7313105940
2016-02-12;7332278410
2016-02-13;6583859900
2016-02-14;6148030650
2016-02-15;7443775230
2016-02-16;7650774350
2016-02-17;7793426870
2016-02-18;7832708330
2016-02-19;7690970930
2016-02-20;6818355420
2016-02-21;6257085980
2016-02-22;7299139780
2016-02-23;7366278750
2016-02-24;7437457260
2016-02-25;7337284310
2016-02-26;7482411530
2016-02-27;6925972240
2016-02-28;6357536630
2016-02-29;7264398360
2016-03-01;7438083110
2016-03-02;7409052920
2016-03-03;7366601400
2016-03-04;7371591630
2016-03-05;6647180960
2016-03-06;6215718000
2016-03-07;7568865660
2016-03-08;7597263620
2016-03-09;7722359340
2016-03-10;7650727010
2016-03-11;7496298900
2016-03-12;6684475680
2016-03-13;6187827470
2016-03-14;7400688860
2016-03-15;7519044770
2016-03-16;7473381770
2016-03-17;7454855400
2016-03-18;7368003710
2016-03-19;6573759440
2016-03-20;6090393830
2016-03-21;7185834810
2016-03-22;7186143130
2016-03-23;7020854720
2016-03-24;6079304700
2016-03-25;5655239060
2016-03-26;5856575500
2016-03-27;5307116720
2016-03-28;6146845940
2016-03-29;6789009940
2016-03-30;6837383430
2016-03-31;6990532440
2016-04-01;7019371940
2016-04-02;6354604730
2016-04-03;5941761290
2016-04-04;7051916440
2016-04-05;7209992420
2016-04-06;7067037660
2016-04-07;6997665100
2016-04-08;7012314650
2016-04-09;6266315500
2016-04-10;5837869860
2016-04-11;6952317860
2016-04-12;7110861760
2016-04-13;6995780430
2016-04-14;6963012890
2016-04-15;6874716540
2016-04-16;6204509050
2016-04-17;5669471670
2016-04-18;6706629600
2016-04-19;6926995770
2016-04-20;6966647850
2016-04-21;6876554320
2016-04-22;6800953440
2016-04-23;6030857270
2016-04-24;5542918270
2016-04-25;6586399820
2016-04-26;6724939530
2016-04-27;6790155690
2016-04-28;6788421010
2016-04-29;6747933660
2016-04-30;6004852860
2016-05-01;5288651430
2016-05-02;6063114720
2016-05-03;6623164590
2016-05-04;6670467600
2016-05-05;6696420520
2016-05-06;6703710040
2016-05-07;6011264270
2016-05-08;5581753000
2016-05-09;6655774370
2016-05-10;6805206310
2016-05-11;6785733880
2016-05-12;6780016970
2016-05-13;6719243140
2016-05-14;5978725810
2016-05-15;5439936740
2016-05-16;6114382620
2016-05-17;6525905030
2016-05-18;6676252500
2016-05-19;6664199750
2016-05-20;6676176680
2016-05-21;6032880580
2016-05-22;5538086820
2016-05-23;6489625620
2016-05-24;6663445390
2016-05-25;6718801680
2016-05-26;6688699800
2016-05-27;6685052500
2016-05-28;6025961130
2016-05-29;5479873970
2016-05-30;6487197770
2016-05-31;6639161150
2016-06-01;6690822040
2016-06-02;6733951210
2016-06-03;6752463530
2016-06-04;6076641430
2016-06-05;5598441460
2016-06-06;6714044220
2016-06-07;7001788890
2016-06-08;7142514750
2016-06-09;7243014840
2016-06-10;7130637570
2016-06-11;6318967630
2016-06-12;5793458730
2016-06-13;7131720490
2016-06-14;7246339290
2016-06-15;7110858140
2016-06-16;6756643470
2016-06-17;6704289090
2016-06-18;6128965030
2016-06-19;5642235070
2016-06-20;6751496660
2016-06-21;7052711980
2016-06-22;7143173120
2016-06-23;7099735210
2016-06-24;6752763740
2016-06-25;6430174160
2016-06-26;5853704690
2016-06-27;7071978940
2016-06-28;7340165980
2016-06-29;7352837210
2016-06-30;7397312860
2016-07-01;7353546700
2016-07-02;6628808230
2016-07-03;6159061850
2016-07-04;7280225190
2016-07-05;7534765960
2016-07-06;7575765750
2016-07-07;7448436170
2016-07-08;7534953160
2016-07-09;6867195060
2016-07-10;6390436620
2016-07-11;7716155110
2016-07-12;7713931040
2016-07-13;7437304930
2016-07-14;7287626510
2016-07-15;7188076600
2016-07-16;6493376760
2016-07-17;6005708570
2016-07-18;7332528310
2016-07-19;7596266220
2016-07-20;7741850210
2016-07-21;7738784070
2016-07-22;7509682560
2016-07-23;6585738040
2016-07-24;6045791300
2016-07-25;7034248640
2016-07-26;7682024690
2016-07-27;7720941550
2016-07-28;7703505180
2016-07-29;7658196300
2016-07-30;6856084390
2016-07-31;6196875830
2016-08-01;7279752870
2016-08-02;7458981650
2016-08-03;7539382460
2016-08-04;7538047950
2016-08-05;7341886990
2016-08-06;6505808220
2016-08-07;5999085710
2016-08-08;7028886080
2016-08-09;7123121560
